"scope","school_type","sed_code","institution_id","legal_name","popular_name","label_name","address","city","zip","county","institution_type","institution_subtype","record_type","district_type","district_name","longitude","latitude","source_layer","source_publication_date","inventory_status"
"Erie County outside Buffalo","public","141601060002","800000052197","BOSTON VALLEY ELEMENTARY SCHOOL","BOSTON VALLEY ELEMENTARY SCHOOL","BOSTON VALLEY ELEMENTARY SCH","7476 BACK CREEK RD","HAMBURG","14075","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","HAMBURG CSD","-78.775189592964466","42.682487640001689","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141601060003","800000052198","CHARLOTTE AVENUE ELEMENTARY SCHOOL","CHARLOTTE AVENUE ELEMENTARY SCHOOL","CHARLOTTE AVE ELEMENTARY SCH","301 CHARLOTTE AVE","HAMBURG","14075","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","HAMBURG CSD","-78.816760899820281","42.725428056765104","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141601060007","800000052201","HAMBURG HIGH SCHOOL","HAMBURG HIGH SCHOOL","HAMBURG HIGH SCHOOL","4111 LEGION DR","HAMBURG","14075","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","HAMBURG CSD","-78.829583599776285","42.726778822421721","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141601060006","800000052200","HAMBURG MIDDLE SCHOOL","HAMBURG MIDDLE SCHOOL","HAMBURG MIDDLE SCHOOL","360 DIVISION ST","HAMBURG","14075","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","HAMBURG CSD","-78.831410193602053","42.729495209090345","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141601060004","800000052199","UNION PLEASANT AVENUE ELEMENTARY SCHOOL","UNION PLEASANT AVENUE ELEMENTARY SCH","UNION PLEASANT AVE ELEM SCH","150 PLEASANT AVE","HAMBURG","14075","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","HAMBURG CSD","-78.834171123740177","42.719422532992446","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141701040002","800000052165","HAROLD O BRUMSTED ELEMENTARY SCHOOL","HAROLD O BRUMSTED ELEM SCH","HAROLD O BRUMSTED ELEM SCH","173 CANADA ST","HOLLAND","14080","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL CENTRAL","PUBLIC SCHOOL (IMF)"," ","HOLLAND CSD","-78.53987833175016","42.646544799237581","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141701040001","800000052164","HOLLAND HIGH SCHOOL","HOLLAND HIGH SCHOOL","HOLLAND HIGH SCHOOL","103 CANADA ST","HOLLAND","14080","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL CENTRAL","PUBLIC SCHOOL (IMF)"," ","HOLLAND CSD","-78.540813601642242","42.644605592570564","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141701040004","800000090301","HOLLAND MIDDLE SCHOOL","HOLLAND MIDDLE SCHOOL","HOLLAND MIDDLE SCHOOL","11720 PARTRIDGE RD","HOLLAND","14080","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL CENTRAL","PUBLIC SCHOOL (IMF)"," ","HOLLAND CSD","-78.55275455927773","42.651912711325558","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141301060007","800000052246","ELMA PRIMARY SCHOOL","ELMA PRIMARY SCHOOL","ELMA PRIMARY SCHOOL","711 RICE RD","ELMA","14059","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","IROQUOIS CSD","-78.649906500815007","42.823011698873934","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141301060002","800000052241","IROQUOIS INTERMEDIATE SCHOOL","IROQUOIS INTERMEDIATE SCHOOL","IROQUOIS INTERMEDIATE SCHOOL","2111 GIRDLE RD","ELMA","14059","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","IROQUOIS CSD","-78.605912890151245","42.836631518465403","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141301060005","800000052244","IROQUOIS MIDDLE SCHOOL","IROQUOIS MIDDLE SCHOOL","IROQUOIS MIDDLE SCHOOL","2111 GIRDLE RD","ELMA","14059","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","IROQUOIS CSD","-78.605912890151245","42.836631518465403","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141301060006","800000052245","IROQUOIS SENIOR HIGH SCHOOL","IROQUOIS SENIOR HIGH SCHOOL","IROQUOIS SENIOR HIGH SCHOOL","2111 GIRDLE RD","ELMA","14059","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","IROQUOIS CSD","-78.605912890151245","42.836631518465403","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141301060003","800000052242","MARILLA PRIMARY SCHOOL","MARILLA PRIMARY SCHOOL","MARILLA PRIMARY SCHOOL","11683 BULLIS RD","MARILLA","14102","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","IROQUOIS CSD","-78.551383558749379","42.840690641252351","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141301060004","800000052243","WALES PRIMARY SCHOOL","WALES PRIMARY SCHOOL","WALES PRIMARY SCHOOL","4650 WOODCHUCK RD","EAST AURORA","14052","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","IROQUOIS CSD","-78.51850198215925","42.76343321815451","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","142601030013","800000051999","HOLMES ELEMENTARY SCHOOL","HOLMES ELEMENTARY SCHOOL","HOLMES ELEMENTARY SCHOOL","365 DUPONT AVE","TONAWANDA","14150","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT UNION FREE","PUBLIC SCHOOL (IMF)"," ","KENMORE-TONAWANDA UFSD","-78.89721586347919","42.976337498620722","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","142601030025","800000051987","KENMORE EAST SENIOR HIGH SCHOOL","KENMORE EAST SENIOR HIGH SCHOOL","KENMORE EAST SENIOR HIGH SCH","350 FRIES RD","TONAWANDA","14150","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT UNION FREE","PUBLIC SCHOOL (IMF)"," ","KENMORE-TONAWANDA UFSD","-78.834171886804242","42.990329447584294","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","142601030028","800000093006","KENMORE JUNIOR-SENIOR HIGH SCHOOL","KENMORE JR-SR HIGH SCHOOL","KENMORE JR-SR HIGH SCHOOL","155 DELAWARE RD","KENMORE","14217","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT UNION FREE","PUBLIC SCHOOL (IMF)",,"KENMORE-TONAWANDA UFSD","-78.867020348555414","42.966413619992785","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","142601030020","800000052001","THOMAS A EDISON ELEMENTARY SCHOOL","THOMAS A EDISON ELEMENTARY SCHOOL","THOMAS A EDISON ELEM SCH","236 GRAYTON RD","TONAWANDA","14150","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT UNION FREE","PUBLIC SCHOOL (IMF)"," ","KENMORE-TONAWANDA UFSD","-78.84470466745897","42.987076529691571","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141800010008","800000052141","LACKAWANNA HIGH SCHOOL","LACKAWANNA HIGH SCHOOL","LACKAWANNA HIGH SCHOOL","550 MARTIN RD","LACKAWANNA","14218","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","PUBLIC SCHOOL (IMF)"," ","LACKAWANNA CITY SD","-78.803884295416765","42.817735432602774","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141800010005","800000052139","LACKAWANNA MIDDLE SCHOOL","LACKAWANNA MIDDLE SCHOOL","LACKAWANNA MIDDLE SCHOOL","550 MARTIN RD","LACKAWANNA","14218","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","PUBLIC SCHOOL (IMF)"," ","LACKAWANNA CITY SD","-78.803086830608976","42.817679475536877","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141800010011","800000057176","MARTIN ROAD ELEMENTARY SCHOOL","MARTIN ROAD ELEMENTARY SCHOOL","MARTIN ROAD ELEMENTARY SCHOOL","135 MARTIN RD","LACKAWANNA","14218","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","PUBLIC SCHOOL (IMF)"," ","LACKAWANNA CITY SD","-78.817056457107682","42.815466254167525","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141800010010","800000052142","TRUMAN ELEMENTARY SCHOOL","TRUMAN ELEMENTARY SCHOOL","TRUMAN ELEMENTARY SCHOOL","15 INNER DR","LACKAWANNA","14218","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL CITY","PUBLIC SCHOOL (IMF)"," ","LACKAWANNA CITY SD","-78.803067701125855","42.805956305803882","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141901060004","800000052092","COMO PARK ELEMENTARY SCHOOL","COMO PARK ELEMENTARY SCHOOL","COMO PARK ELEMENTARY SCHOOL","1985 COMO PARK BLVD","LANCASTER","14086","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","LANCASTER CSD","-78.67421845605223","42.892199540201531","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141901060005","800000052093","COURT STREET ELEMENTARY SCHOOL","COURT STREET ELEMENTARY SCHOOL","COURT STREET ELEMENTARY SCH","91 COURT ST","LANCASTER","14086","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","LANCASTER CSD","-78.658726552347431","42.90227013716698","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141901060006","800000052079","HILLVIEW ELEMENTARY SCHOOL","HILLVIEW ELEMENTARY SCHOOL","HILLVIEW ELEMENTARY SCHOOL","11 PLEASANTVIEW DR","LANCASTER","14086","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","LANCASTER CSD","-78.695499387600492","42.933406456035264","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141901060001","800000052090","JOHN A SCIOLE ELEMENTARY SCHOOL","JOHN A SCIOLE ELEMENTARY SCHOOL","JOHN A SCIOLE ELEM SCH","86 ALYS DR E","DEPEW","14043","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","LANCASTER CSD","-78.703768210548461","42.922651392358212","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141901060008","800000052081","LANCASTER HIGH SCHOOL","LANCASTER HIGH SCHOOL","LANCASTER HIGH SCHOOL","1 FORTON DR","LANCASTER","14086","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","LANCASTER CSD","-78.672082854424119","42.931200472723361","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141901060007","800000052080","LANCASTER MIDDLE SCHOOL","LANCASTER MIDDLE SCHOOL","LANCASTER MIDDLE SCHOOL","148 AURORA ST","LANCASTER","14086","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","LANCASTER CSD","-78.674112912433415","42.895477522872156","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","141901060010","800000052083","WILLIAM STREET SCHOOL","WILLIAM STREET SCHOOL","WILLIAM STREET SCHOOL","5201 WILLIAM ST","LANCASTER","14086","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","LANCASTER CSD","-78.652314281612732","42.878707832654101","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","142201040002","800000052058","NORTH COLLINS ELEMENTARY SCHOOL","NORTH COLLINS ELEMENTARY SCHOOL","NORTH COLLINS ELEMENTARY SCH","10469 BANTLE RD","NORTH COLLINS","14111","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL CENTRAL","PUBLIC SCHOOL (IMF)"," ","NORTH COLLINS CSD","-78.928139652825948","42.596708384293997","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","142201040001","800000052057","NORTH COLLINS JUNIOR-SENIOR HIGH SCHOOL","NORTH COLLINS JUNIOR-SENIOR HS","NORTH COLLINS JR-SR HS","2045 SCHOOL ST","NORTH COLLINS","14111","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL CENTRAL","PUBLIC SCHOOL (IMF)"," ","NORTH COLLINS CSD","-78.939043768117514","42.597847443114894","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","142301060003","800000052049","EGGERT ROAD ELEMENTARY SCHOOL","EGGERT ROAD ELEMENTARY SCHOOL","EGGERT ROAD ELEMENTARY SCHOOL","3580 EGGERT RD","ORCHARD PARK","14127","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","ORCHARD PARK CSD","-78.752346628884808","42.786523367489906","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","142301060007","800000052035","ELLICOTT ROAD ELEMENTARY SCHOOL","ELLICOTT ROAD ELEMENTARY SCHOOL","ELLICOTT ROAD ELEMENTARY SCH","5180 ELLICOTT RD","ORCHARD PARK","14127","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","ORCHARD PARK CSD","-78.742201228460516","42.742953439327188","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
"Erie County outside Buffalo","public","142301060006","800000052034","ORCHARD PARK HIGH SCHOOL","ORCHARD PARK HIGH SCHOOL","ORCHARD PARK HIGH SCHOOL","4040 BAKER RD","ORCHARD PARK","14127","ERIE","PUBLIC SCHOOLS","PUBLIC SCHOOL INDEPENDENT CENTRAL","PUBLIC SCHOOL (IMF)"," ","ORCHARD PARK CSD","-78.729463699349964","42.773500997919989","2","2026-07-17","NYSED-derived inventory; facility and operating status verification pending"
